An Independence from Europe,south-east,Laurence Stassen,"","","","","",""
An Independence from Europe,south-east,Joyce Nattrass,JOYCE ISABELLA NATTRASS,secretary,STORSACK UK LIMITED,00450530,gb,https://opencorporates.com/companies/gb/00450530
An Independence from Europe,south-east,Joyce Nattrass,JOYCE NATTRASS,director,FIRE ART LIMITED,03897097,gb,https://opencorporates.com/companies/gb/03897097
An Independence from Europe,south-east,Joyce Nattrass,JOYCE NATTRASS,director,FIRE ART LIMITED,03897097,gb,https://opencorporates.com/companies/gb/03897097
An Independence from Europe,south-east,Joyce Nattrass,JOYCE NATTRASS,director,NEW JOHN LIMITED,02111113,gb,https://opencorporates.com/companies/gb/02111113
An Independence from Europe,south-east,Paul Godfrey,ANDREW PAUL GODFREY,director,KINGFISHER CONTRACTS UK LIMITED,03414067,gb,https://opencorporates.com/companies/gb/03414067
An Independence from Europe,south-east,Paul Godfrey,ANDREW PAUL GODFREY,director,THE CENTRE FOR FAMILIES IN BUSINESS LIMITED,05306438,gb,https://opencorporates.com/companies/gb/05306438
An Independence from Europe,south-east,Paul Godfrey,ANDREW PAUL GODFREY,director,FOOTPRINT WORKERS CO-OPERATIVE LTD.,03357921,gb,https://opencorporates.com/companies/gb/03357921
An Independence from Europe,south-east,Paul Godfrey,ANDREW PAUL GODFREY,secretary,LUPINE ADVENTURE CO-OPERATIVE LIMITED,06378809,gb,https://opencorporates.com/companies/gb/06378809
An Independence from Europe,south-east,Paul Godfrey,ANDREW PAUL GODFREY,director,LUPINE ADVENTURE CO-OPERATIVE LIMITED,06378809,gb,https://opencorporates.com/companies/gb/06378809
An Independence from Europe,south-east,Paul Godfrey,ANDREW PAUL GODFREY,director,BEST PRACTICE USER GROUP LIMITED,05454296,gb,https://opencorporates.com/companies/gb/05454296
An Independence from Europe,south-east,Paul Godfrey,ANTHONY PAUL GODFREY,director,T AND L GODFREY BUILDERS LIMITED,01836234,gb,https://opencorporates.com/companies/gb/01836234
An Independence from Europe,south-east,Paul Godfrey,ANTHONY PAUL GODFREY,director,ASHBERRY CONSTRUCTION LIMITED,06991318,gb,https://opencorporates.com/companies/gb/06991318
An Independence from Europe,south-east,Paul Godfrey,ANTHONY PAUL GODFREY,director,GODFREY-MARTIN LTD,08190035,gb,https://opencorporates.com/companies/gb/08190035
An Independence from Europe,south-east,Paul Godfrey,BRIAN PAUL GODFREY,director,BRIDON VEHICLE SERVICES LIMITED,06288083,gb,https://opencorporates.com/companies/gb/06288083
An Independence from Europe,south-east,Paul Godfrey,BRIAN PAUL GODFREY,director,B & R SERVICES LIMITED,04618374,gb,https://opencorporates.com/companies/gb/04618374
An Independence from Europe,south-east,Paul Godfrey,CHARLES PAUL GODFREY,director,BRITISH AIRWAYS REGIONAL LIMITED,02562966,gb,https://opencorporates.com/companies/gb/02562966
An Independence from Europe,south-east,Paul Godfrey,CHARLES PAUL GODFREY,director,HEATHROW AOC LIMITED,07095672,gb,https://opencorporates.com/companies/gb/07095672
An Independence from Europe,south-east,Paul Godfrey,CHRISTOPHER PAUL GODFREY,director,C & A CARPETS & FLOORING LTD,07189895,gb,https://opencorporates.com/companies/gb/07189895
An Independence from Europe,south-east,Paul Godfrey,DAMIEN PAUL GODFREY,director,GODFREY SIGNS LIMITED,07908412,gb,https://opencorporates.com/companies/gb/07908412
An Independence from Europe,south-east,Paul Godfrey,DAVID IAN PAUL GODFREY,director,PAUL MICHAEL (JEWELLERS) LIMITED,01229731,gb,https://opencorporates.com/companies/gb/01229731
An Independence from Europe,south-east,Paul Godfrey,DAVID IAN PAUL GODFREY,director,SPIEGELHALTER BROTHERS LIMITED,00365181,gb,https://opencorporates.com/companies/gb/00365181
An Independence from Europe,south-east,Paul Godfrey,DAVID IAN PAUL GODFREY,director,WEBEXPLORER LIMITED,04035673,gb,https://opencorporates.com/companies/gb/04035673
An Independence from Europe,south-east,Paul Godfrey,DAVID IAN PAUL GODFREY,director,SUPPORTFOOTBALL.COM LIMITED,04639970,gb,https://opencorporates.com/companies/gb/04639970
An Independence from Europe,south-east,Paul Godfrey,DAVID IAN PAUL GODFREY,director,JANC LTD,08026763,gb,https://opencorporates.com/companies/gb/08026763
